rotation_regime,n_pixels,overall_accuracy,macro_f1,f1_other_cropland,f1_corn,f1_soybean,f1_winter_wheat
irregular,310108,0.7091980858281631,0.6575601778006849,0.47676346000368347,0.6689210587054422,0.6726861390538521,0.8118700534397619
monoculture,124318,0.9554529513023053,0.8017084440464944,0.9961083685006769,0.7755203417614625,0.5211673780136117,0.9140376879102265
regular,65574,0.874126940555708,0.5587320259506997,0.11456628477905073,0.8794808011225922,0.9071859555028922,0.3336950623982637
