ablation_id,name,n_features,overall_accuracy,macro_f1,f1_other_cropland,f1_corn,f1_soybean,f1_winter_wheat
A,cdl_only,19,0.805894,0.8080385518045412,0.9029715877107221,0.7274606468119628,0.7531059108787769,0.8486160618167029
B,cdl_ndvi,34,0.82328,0.8244833919805686,0.9057270719809237,0.7488490594941506,0.762630791076768,0.8807266453704323
C,cdl_smap,23,0.806576,0.8086490114479236,0.9025034999936556,0.7284584301917406,0.7542494328232322,0.8493846827830658
D,cdl_ndvi_smap,38,0.822626,0.8239125173271754,0.9035611664474621,0.7500591307973237,0.7603492647768093,0.8816805072871065
