crop,doy,posterior_mean,posterior_iqr_25,posterior_iqr_75,ci_05,ci_95
corn,173,0.86355,0.85074,0.8773,0.83063,0.89801
corn,174,0.86769,0.85405,0.88149,0.83441,0.90109
corn,174,0.87169,0.8575,0.88406,0.83838,0.90637
corn,175,0.87553,0.86209,0.88891,0.84159,0.91051
corn,176,0.8792,0.8649,0.89263,0.84498,0.9126
corn,176,0.88269,0.86925,0.89748,0.85047,0.91631
corn,177,0.886,0.87183,0.89913,0.85119,0.91885
corn,178,0.88911,0.87576,0.90338,0.85546,0.92332
corn,179,0.89203,0.87894,0.90568,0.85966,0.92693
corn,179,0.89475,0.88149,0.90915,0.86171,0.9297
corn,180,0.89729,0.88305,0.91086,0.86309,0.92913
corn,181,0.89965,0.88672,0.91314,0.86744,0.93439
corn,182,0.90184,0.88918,0.91653,0.86882,0.93564
corn,182,0.90387,0.8908,0.91782,0.87108,0.93728
corn,183,0.90575,0.89202,0.92028,0.87114,0.94017
corn,184,0.9075,0.89423,0.92148,0.87536,0.94036
corn,184,0.90913,0.8959,0.92402,0.87655,0.94378
corn,185,0.91065,0.89689,0.92347,0.87729,0.94277
corn,186,0.91208,0.89827,0.92553,0.87884,0.94492
corn,187,0.91343,0.90006,0.92701,0.88079,0.94808
corn,187,0.91471,0.90006,0.92827,0.88142,0.94818
corn,188,0.91592,0.90287,0.92931,0.88321,0.94924
corn,189,0.91709,0.90292,0.93009,0.88244,0.95004
corn,189,0.91821,0.90541,0.93118,0.88598,0.95106
corn,190,0.91929,0.90445,0.93294,0.88516,0.95328
corn,191,0.92033,0.90729,0.93531,0.88819,0.955
corn,192,0.92134,0.9075,0.93486,0.88801,0.95425
corn,192,0.9223,0.90817,0.93589,0.88873,0.95566
corn,193,0.92323,0.9095,0.93794,0.88974,0.956
corn,194,0.92412,0.91047,0.93743,0.89085,0.95726
corn,195,0.92496,0.91136,0.93984,0.89121,0.95926
corn,195,0.92574,0.91175,0.93859,0.89257,0.95769
corn,196,0.92648,0.91253,0.94081,0.89161,0.96058
corn,197,0.92715,0.91319,0.94163,0.89387,0.95972
corn,197,0.92776,0.91434,0.9416,0.89514,0.96127
corn,198,0.9283,0.91619,0.94296,0.89602,0.96161
corn,199,0.92878,0.91498,0.94261,0.89674,0.96109
corn,200,0.92918,0.91581,0.94333,0.89643,0.96334
corn,200,0.92951,0.91644,0.94292,0.89743,0.96307
corn,201,0.92977,0.91632,0.94362,0.89778,0.96354
corn,202,0.92997,0.91694,0.94501,0.89749,0.96399
corn,202,0.9301,0.91679,0.94414,0.89678,0.96459
corn,203,0.93018,0.91598,0.94377,0.89616,0.9635
corn,204,0.9302,0.91565,0.94332,0.89525,0.96349
corn,205,0.93019,0.91702,0.94412,0.89634,0.9645
corn,205,0.93013,0.91618,0.94375,0.89609,0.96325
corn,206,0.93005,0.91634,0.94378,0.8966,0.96308
corn,207,0.92994,0.91634,0.94364,0.89671,0.96338
corn,208,0.92983,0.9154,0.94306,0.89629,0.9644
corn,208,0.92972,0.91678,0.94284,0.89636,0.96361
corn,209,0.9296,0.91632,0.94355,0.89523,0.96159
corn,210,0.9295,0.91618,0.94305,0.8978,0.96371
corn,210,0.92942,0.91547,0.9431,0.8973,0.96346
corn,211,0.92936,0.91432,0.94315,0.89687,0.96253
corn,212,0.92931,0.91664,0.94379,0.89651,0.96295
corn,213,0.9293,0.91442,0.94365,0.8967,0.96311
corn,213,0.92931,0.91581,0.94342,0.89592,0.96281
corn,214,0.92935,0.91636,0.94377,0.89603,0.96501
corn,215,0.9294,0.91567,0.94214,0.89516,0.96206
corn,215,0.92948,0.9153,0.94319,0.89541,0.96365
corn,216,0.92958,0.91474,0.94368,0.89542,0.96298
corn,217,0.92968,0.91614,0.94308,0.89668,0.96378
corn,218,0.92978,0.91632,0.9427,0.89626,0.96238
corn,218,0.92989,0.9159,0.9443,0.89682,0.96335
corn,219,0.92999,0.91679,0.94338,0.8972,0.96276
corn,220,0.93007,0.91604,0.94394,0.89676,0.9639
corn,221,0.93014,0.91594,0.94385,0.89629,0.96488
corn,221,0.93017,0.91583,0.94369,0.89595,0.96253
corn,222,0.93018,0.91584,0.944,0.89734,0.96246
corn,223,0.93015,0.91622,0.94367,0.89683,0.96385
corn,223,0.93007,0.91719,0.94436,0.89821,0.96446
corn,224,0.92995,0.91694,0.94384,0.89665,0.96365
corn,225,0.92979,0.91566,0.94417,0.89513,0.96436
corn,226,0.92957,0.91578,0.94457,0.89653,0.96308
corn,226,0.92929,0.91595,0.94436,0.89635,0.96366
corn,227,0.92896,0.91513,0.94264,0.89574,0.96277
corn,228,0.92857,0.91439,0.94147,0.89589,0.96157
corn,228,0.92811,0.91465,0.94227,0.89398,0.96192
corn,229,0.9276,0.91401,0.9423,0.89452,0.96117
corn,230,0.92701,0.91346,0.94145,0.89324,0.96354
corn,231,0.92636,0.91208,0.94064,0.89317,0.96159
corn,231,0.92564,0.91058,0.93967,0.89145,0.95944
corn,232,0.92484,0.91098,0.93891,0.8928,0.9585
corn,233,0.92396,0.91015,0.93888,0.89223,0.95739
corn,234,0.923,0.9097,0.93677,0.88979,0.95571
corn,234,0.92196,0.90859,0.93575,0.88839,0.95663
corn,235,0.92082,0.90783,0.93478,0.88735,0.95462
corn,236,0.91959,0.90544,0.93262,0.88459,0.953
corn,236,0.91826,0.90457,0.93182,0.88313,0.95085
corn,237,0.91683,0.90237,0.9296,0.8842,0.95131
corn,238,0.91529,0.90174,0.92956,0.88198,0.95076
corn,239,0.91365,0.89945,0.92816,0.87943,0.94742
corn,239,0.91189,0.89795,0.92634,0.87872,0.94639
corn,240,0.91002,0.89648,0.92428,0.87644,0.94439
corn,241,0.90804,0.8945,0.92102,0.87458,0.94271
corn,241,0.90595,0.89222,0.91951,0.87228,0.9401
corn,242,0.90375,0.88943,0.91664,0.869,0.93698
corn,243,0.90145,0.88824,0.91439,0.86765,0.93193
corn,244,0.89903,0.88532,0.91267,0.8657,0.93174
corn,244,0.89652,0.88283,0.91106,0.86185,0.9297
corn,245,0.89392,0.87936,0.90728,0.86055,0.92883
corn,246,0.89122,0.87739,0.9047,0.85599,0.92454
corn,247,0.88844,0.87527,0.90219,0.85691,0.92178
corn,247,0.88559,0.87156,0.89924,0.85256,0.91728
corn,248,0.88267,0.8689,0.89622,0.84958,0.91625
corn,249,0.87967,0.86478,0.89324,0.84604,0.91423
corn,249,0.87662,0.86188,0.88982,0.84178,0.90986
corn,250,0.87351,0.86054,0.88745,0.84106,0.90881
corn,251,0.87035,0.85647,0.8835,0.83702,0.90453
